follower_count,likes,comments,shares,saves,hashtag_count,post_type,hour_of_day,day_of_week,account_age_days,reach,reach_tier
14023,396,15,8,34,25,reel,15,6,1098,13119,2
1246,71,4,2,5,22,image,22,0,2160,2891,0
31282,559,33,18,55,19,video,18,4,1947,16020,2
44047,542,22,16,49,20,reel,15,5,572,19945,2
1000,32,1,1,1,4,reel,9,0,1997,1774,0
1000,57,1,2,5,23,video,3,6,987,3110,0
10199,224,13,3,16,3,image,8,1,2055,3911,0
4585,203,7,8,16,9,reel,17,6,1595,5488,1
7861,442,18,10,27,2,reel,12,0,1204,8348,1
1745,18,0,0,1,15,image,3,4,1646,1852,0
39455,660,21,13,31,26,image,5,1,295,10088,1
32860,231,7,5,11,27,image,9,4,3545,20776,2
9125,162,10,7,8,0,video,1,5,2142,2258,0
61638,2383,146,69,240,30,image,11,3,188,54200,2
18798,769,40,26,73,6,video,21,5,538,22490,2
1725,71,3,0,3,11,image,17,5,83,1787,0
15736,290,21,3,12,8,reel,22,2,938,13170,2
1442,7,0,0,0,15,image,23,6,3342,1724,0
39387,711,39,30,65,0,reel,1,0,2663,35474,2
7406,471,28,13,36,10,reel,8,3,3207,10976,1
5809,423,28,7,39,9,image,4,5,1764,5566,1
2378,93,5,1,8,22,image,16,5,1078,3536,0
73172,1385,46,67,146,26,reel,0,2,1404,35346,2
6135,277,13,2,18,1,image,16,6,1193,4745,1
3748,137,3,2,14,12,video,9,6,3181,3423,0
4299,89,6,3,6,29,image,4,0,2173,5717,1
21123,1360,80,64,127,28,image,5,0,3045,20454,2
15643,973,76,14,77,17,video,15,4,761,8761,1
17033,453,12,18,51,23,video,11,1,3293,18841,2
17596,1202,60,27,76,8,reel,21,0,3200,24844,2
382684,8863,562,329,816,24,video,23,5,2178,319223,2
3898,119,8,1,9,1,image,13,3,1006,1471,0
3222,134,9,5,16,15,video,16,6,2187,4134,1
1872,29,0,1,1,17,image,11,5,246,2053,0
24557,515,40,24,43,5,image,9,4,733,14141,2
61830,1277,100,38,65,18,image,15,2,1959,28914,2
6600,177,13,8,19,29,image,0,5,3537,4270,1
1785,158,8,4,16,21,image,19,0,2685,3672,0
1837,144,10,4,12,4,image,16,2,884,1516,0
26135,1430,35,19,104,16,image,5,5,3492,12888,2
30879,706,24,30,64,21,reel,0,4,1782,30446,2
21540,1924,49,50,153,15,image,3,1,2292,14042,2
2445,14,0,0,0,4,reel,16,5,2955,1368,0
12306,781,60,28,81,9,reel,15,3,398,15152,2
9996,747,44,30,56,14,reel,15,5,743,14176,2
12011,114,5,3,6,6,image,0,1,2428,2417,0
38893,1160,78,40,104,13,image,0,0,1598,13908,2
12118,445,23,13,14,7,image,19,6,365,8465,1
27502,357,16,12,33,4,image,10,6,534,13843,2
9151,428,24,11,30,11,image,7,2,733,5444,1
13635,193,9,7,16,0,image,1,6,1831,9180,1
25243,798,46,33,35,23,video,2,5,1104,17254,2
1000,30,2,0,2,1,video,17,1,3323,913,0
4557,52,2,0,4,3,image,18,2,230,2458,0
3474,84,3,2,8,9,image,6,3,1596,2498,0
2565,152,8,6,10,19,video,5,2,1354,4251,1
4938,29,2,1,2,13,video,7,2,493,2459,0
119478,4784,217,98,380,1,reel,9,1,2807,106430,2
1705,57,4,2,2,10,reel,20,4,2790,3913,0
46300,4951,282,104,158,1,video,9,2,224,36237,2
1000,47,0,2,3,13,image,18,6,1989,1861,0
4434,90,4,4,9,8,image,19,6,1825,4334,1
10861,383,12,11,22,27,image,14,0,211,8552,1
23276,883,25,42,86,11,image,6,4,849,14293,2
29149,2263,77,72,198,18,reel,23,4,1363,40713,2
33793,1782,111,44,110,5,video,15,0,2080,36256,2
4325,185,10,7,5,14,video,16,5,1695,5186,1
3525,68,3,0,4,27,image,23,3,1812,4008,1
37962,1810,89,33,118,0,video,14,5,2665,12868,2
5742,141,6,2,5,9,image,14,3,631,1986,0
1000,34,2,1,3,11,image,19,2,278,1663,0
1053,11,0,0,1,14,video,3,4,3117,2034,0
1548,68,4,2,2,12,image,23,5,871,1770,0
19828,1041,38,47,52,30,image,6,5,1842,17666,2
10471,487,36,21,42,4,image,23,3,258,3861,0
28081,493,34,18,56,7,image,12,3,3599,15918,2
3755,59,1,2,6,14,image,21,6,2612,3266,0
10779,947,38,19,107,19,video,7,6,3595,14912,2
24985,2033,80,79,141,2,image,18,2,3480,29958,2
4643,200,12,2,23,23,image,12,4,939,4425,1
18438,1398,71,20,87,16,image,15,1,1515,12782,2
2461,148,5,2,5,8,image,13,2,3227,1630,0
4215,133,4,1,12,11,reel,23,3,1933,3154,0
4076,209,9,10,16,1,reel,17,2,2635,5583,1
1000,39,2,1,3,20,video,6,6,1698,2973,0
19468,948,47,43,81,24,video,14,6,1595,23400,2
3481,134,4,3,13,30,reel,8,0,1509,8502,1
8287,283,16,10,17,8,image,16,1,2981,3002,0
19251,1002,80,22,56,8,video,11,1,1827,16999,2
18101,560,17,26,54,9,image,5,0,1552,6081,1
26841,783,40,8,58,4,image,5,3,1861,15664,2
6786,301,12,11,13,12,reel,10,5,1813,10137,1
3782,311,10,14,19,3,reel,11,5,798,5976,1
7019,553,40,22,56,1,image,19,2,1376,5738,1
1000,22,1,0,2,10,reel,15,2,2296,2359,0
1000,25,1,0,2,26,video,18,1,3084,4309,1
1000,20,0,0,1,30,image,3,6,1494,3444,0
1346,94,2,1,9,26,video,4,5,3313,3653,0
16640,522,29,13,25,29,reel,0,2,3608,15550,2
1587,30,0,0,2,27,reel,1,1,577,4996,1
4102,184,9,7,15,20,video,3,3,777,5637,1
84003,761,22,36,87,5,image,15,5,2165,17768,2
4267,53,3,2,1,25,video,10,1,1020,4085,1
30562,367,27,15,43,30,image,10,2,453,6839,1
1509,99,2,3,9,15,video,17,1,2888,3083,0
5598,336,22,5,10,20,reel,9,4,3236,8070,1
1465,41,2,1,3,11,reel,0,6,890,2623,0
4401,135,4,2,4,18,image,0,5,827,2780,0
36774,664,50,18,55,0,image,4,5,3002,10894,1
1000,11,0,0,0,22,image,9,1,160,1924,0
17711,357,18,8,35,16,image,21,6,89,16729,2
12430,612,36,13,50,23,reel,4,5,2729,18738,2
2780,150,5,1,15,11,image,17,2,711,2441,0
1000,7,0,0,0,12,reel,0,4,2442,2640,0
9226,248,11,4,26,4,image,2,0,1497,6852,1
3124,81,5,2,8,18,video,9,6,1518,4900,1
12318,654,49,16,58,28,reel,15,0,3463,12326,2
8428,156,7,6,8,18,video,19,0,2271,10373,1
144813,8872,317,404,1057,27,video,17,4,949,170318,2
5266,163,4,3,16,0,image,21,5,2822,4847,1
1283,56,4,2,5,22,image,10,5,556,2624,0
11189,698,23,11,21,0,video,5,6,645,4933,1
12040,408,30,6,42,13,image,10,0,1470,6199,1
93576,9344,289,253,463,14,video,6,4,1132,91989,2
36431,938,19,21,71,14,image,8,2,3572,11476,1
15403,979,32,48,91,17,image,2,6,1788,12019,1
112864,5953,295,250,398,23,reel,18,2,1500,170568,2
1000,13,0,0,0,21,reel,21,2,2322,4191,1
2561,62,4,0,4,1,reel,2,2,1645,2636,0
1528,71,3,2,4,23,image,1,4,2252,2446,0
4017,102,2,3,8,12,image,19,6,1534,3091,0
1000,57,3,0,2,18,image,22,3,1817,2236,0
25419,433,18,18,28,28,reel,0,2,3343,26944,2
5431,269,16,11,22,8,video,15,2,2425,5004,1
1000,18,1,0,2,18,reel,9,4,345,3786,0
1302,70,5,3,5,19,reel,18,4,106,4028,1
14247,671,36,9,45,15,image,12,1,1652,11487,1
36630,2043,85,92,243,8,image,5,2,1201,26830,2
294818,26775,1232,1280,3033,23,image,6,6,1995,331801,2
1536399,86301,3810,3247,7816,25,image,14,6,2102,811259,2
17084,519,24,9,41,29,reel,6,2,3155,17882,2
1364,25,0,0,1,13,image,2,5,1138,1909,0
1000,43,1,0,3,4,reel,12,0,2478,1129,0
13119,1001,79,10,105,27,image,15,6,3439,8631,1
1875,134,10,6,15,18,reel,19,2,775,5746,1
3836,252,5,12,11,3,image,14,4,3519,2876,0
2692,42,3,1,2,24,video,9,4,3457,4365,1
6289,546,36,11,59,21,video,19,5,1374,9325,1
55202,1311,26,45,140,25,image,10,6,2880,31051,2
10750,360,26,10,34,13,reel,15,2,868,10753,1
6090,304,23,9,11,14,reel,21,3,150,10980,1
1256,41,2,1,3,3,image,23,4,841,726,0
1000,52,3,2,3,13,image,10,4,461,1992,0
3376,96,3,3,6,17,image,11,2,1637,3195,0
7355,520,28,22,27,26,image,20,2,970,5716,1
195296,11975,765,136,701,6,image,13,4,3497,134313,2
10244,254,13,6,19,1,image,18,6,1840,7818,1
47521,2450,93,83,109,9,reel,1,0,886,47006,2
3298,139,8,5,10,6,reel,19,1,1087,5909,1
1000,73,5,3,2,14,image,2,5,1228,1825,0
1426,40,2,0,2,21,reel,9,4,388,3945,0
2196,99,2,1,11,11,image,4,2,2054,2476,0
373713,16359,764,748,1578,10,video,22,2,117,145953,2
1847,25,0,0,0,12,image,2,6,2093,2080,0
36654,1334,77,42,122,30,image,13,6,2641,23890,2
1595,53,1,2,2,12,image,3,6,2429,1225,0
43340,1526,115,61,110,22,reel,0,2,53,22941,2
16202,462,26,18,26,0,image,6,4,2665,3548,0
6112,325,14,5,37,3,reel,1,6,1817,8993,1
7529,176,11,6,6,11,image,6,1,2895,3403,0
2493,91,2,2,9,16,video,3,1,1561,3768,0
18086,834,21,28,77,12,image,16,4,1808,13463,2
3572,120,3,3,7,8,image,4,1,1622,3365,0
1000,76,4,0,8,18,image,11,5,287,2824,0
1000,84,6,1,5,8,image,0,6,1657,1432,0
11055,640,21,18,59,14,reel,22,3,2478,8896,1
139018,2833,185,85,285,3,video,10,6,3008,79413,2
10807,703,15,9,39,5,video,8,4,2175,7489,1
6544,375,15,17,13,28,image,7,2,1388,9018,1
13554,755,44,17,81,18,image,1,6,805,11829,1
85033,991,68,29,50,9,video,6,4,2926,38748,2
12026,795,60,29,90,1,image,20,0,3121,10157,1
3867,137,7,5,7,24,image,9,6,1041,3481,0
59356,403,19,10,27,10,image,20,3,2714,24505,2
17531,66,1,1,4,14,reel,4,2,3061,5179,1
128586,2909,106,53,209,19,image,8,6,1557,90172,2
11269,80,6,1,9,2,image,15,5,2097,4660,1
1000,45,2,0,2,19,image,1,2,3537,1817,0
1000,7,0,0,0,30,reel,8,6,2278,4143,1
158208,5957,208,187,336,5,image,21,6,2480,113546,2
180339,4196,112,70,175,29,image,11,1,3305,69053,2
5865,208,13,7,11,10,reel,22,3,3397,4443,1
4065,95,4,1,7,0,reel,3,4,2866,1360,0
112487,3251,247,150,275,14,video,23,2,2668,90070,2
1104,76,3,2,4,6,image,21,3,809,1540,0
1618,189,13,6,22,12,image,9,6,2602,3216,0
25796,1891,52,40,118,5,reel,13,3,1339,33392,2
3982,62,1,1,6,21,video,3,1,819,6285,1
8028,398,14,10,13,11,image,3,5,3612,9557,1
6037,391,12,18,36,22,image,9,2,1547,4065,1
14877,213,16,2,12,6,image,7,1,2343,5131,1
102075,2313,158,65,181,1,reel,14,1,2332,94622,2
9538,571,23,23,60,10,video,21,5,2258,15185,2
25824,508,26,16,48,23,image,1,6,3029,21938,2
1000,94,4,3,5,30,video,20,1,2992,3974,0
7422,350,19,16,33,27,reel,6,1,3329,13425,2
1776,92,2,2,6,0,video,15,6,3238,1034,0
1000,45,1,0,1,28,image,22,0,326,2518,0
1667,95,2,4,8,12,reel,17,3,1486,2482,0
4440,74,5,0,8,1,image,1,1,2618,1589,0
42134,1005,44,42,37,7,video,14,1,3081,31157,2
1000,31,1,0,2,27,image,3,4,993,2616,0
8562,235,17,2,24,18,reel,6,1,3022,11098,1
3389,214,8,5,17,5,video,13,1,2600,4578,1
4492,299,7,13,22,24,image,13,4,1904,5823,1
49264,747,30,8,38,10,video,22,2,1179,41780,2
21345,1208,72,24,57,3,video,6,6,2154,22540,2
89977,1637,81,34,107,11,image,22,3,2097,50163,2
6135,151,3,2,13,23,image,10,0,1064,6454,1
2315,97,2,1,5,9,image,6,4,1937,1736,0
5415,237,14,10,17,4,reel,14,4,2057,6207,1
12537,271,17,10,22,9,image,14,4,3187,9319,1
11134,647,17,14,31,24,image,21,6,676,10407,1
1150,66,4,1,6,5,image,23,4,2397,739,0
9536,478,19,5,41,14,reel,15,5,317,7466,1
12219,445,10,10,37,20,video,15,4,909,7342,1
752723,36216,1449,798,2644,1,reel,6,1,3052,734178,2
237594,6328,403,295,397,17,video,5,6,2307,215461,2
1744,62,3,1,4,24,video,14,4,859,3681,0
4830,335,16,8,33,19,reel,16,4,2350,6967,1
1000,44,1,1,4,5,reel,8,0,3522,1664,0
2798,134,6,3,12,16,video,12,5,1349,4975,1
14301,2368,101,97,115,27,video,13,0,2722,19892,2
71007,2385,103,93,238,6,image,11,2,981,36766,2
2181,105,5,1,6,4,video,1,3,1374,1285,0
2496,29,1,1,1,18,video,11,6,3323,3226,0
1000,47,1,1,1,12,reel,5,1,477,2295,0
6046,239,8,3,25,20,reel,2,5,587,6222,1
1197,56,1,2,4,18,image,11,3,220,1860,0
3124,26,1,1,2,1,video,18,4,543,1786,0
1671,36,1,0,2,22,image,19,6,2855,2978,0
6838,147,8,3,15,30,reel,8,3,2163,11032,1
1000,113,2,5,9,4,reel,13,0,480,2188,0
1000,30,1,1,2,17,reel,4,0,1146,3533,0
374237,8653,266,271,303,11,video,6,2,2943,86571,2
1000,25,0,0,2,19,reel,10,6,1855,3571,0
1125,20,1,0,1,18,image,9,1,2586,1742,0
221116,680,18,24,35,17,video,15,0,999,79180,2
1512267,73213,2232,933,2939,4,image,17,0,3392,1179074,2
1000,50,2,1,3,21,video,13,3,1362,2775,0
4176,181,6,5,6,20,image,0,2,3486,3617,0
14984,614,46,24,51,20,image,19,2,1508,8677,1
181980,2792,221,110,220,5,reel,10,4,2710,141888,2
1371,11,0,0,1,24,video,20,2,2065,4035,1
5210,73,2,2,5,6,image,6,0,2268,3173,0
32833,1987,99,49,190,5,reel,14,2,315,26833,2
17722,691,34,29,62,10,image,5,5,2898,13362,2
4117,134,6,6,12,5,image,13,4,1594,2419,0
6368,246,5,10,14,10,image,20,6,969,6439,1
1000,32,0,1,2,6,image,13,0,2518,959,0
5277,68,1,3,2,2,reel,23,0,2783,5055,1
5016,62,2,1,5,29,video,9,1,2597,4646,1
12306,565,30,17,32,21,video,3,0,3390,7073,1
2982,82,5,2,6,11,video,11,4,1011,3864,0
18935,600,20,17,67,11,image,19,4,716,20089,2
50155,1071,70,47,97,9,video,12,5,1997,53804,2
10718,247,8,5,13,23,reel,14,1,1259,13063,2
15262,431,9,7,32,7,video,19,4,1421,14181,2
8916,581,34,12,48,2,image,6,1,2359,4744,1
8104,103,3,1,10,14,image,17,6,163,6449,1
2210,69,5,1,6,6,image,22,1,1590,1721,0
14323,1523,115,22,88,28,image,4,0,1593,17939,2
6801,392,10,5,44,11,reel,4,1,117,7614,1
350705,14695,465,412,635,20,image,23,3,2469,282120,2
137590,6101,199,207,334,12,reel,23,4,3045,129774,2
16228,733,54,25,24,5,video,23,2,3453,10866,1
2051,122,3,1,7,9,image,20,2,3452,2928,0
1094,21,1,1,1,25,video,6,1,436,3442,0
69151,1755,65,26,90,2,image,13,0,923,20154,2
13003,391,21,14,12,29,reel,23,6,1577,12970,2
19230,1144,35,52,35,0,image,16,5,2145,11912,1
1000,18,1,0,2,22,reel,12,1,3437,4095,1
43018,3020,181,92,290,21,image,14,1,1006,31639,2
18360,990,21,20,91,18,image,5,3,1729,17623,2
1097,33,1,1,3,2,image,8,2,2495,592,0
3467,183,8,6,16,20,image,17,1,3266,3744,0
13025,297,15,12,10,2,image,23,3,2554,9595,1
8905,904,62,23,102,22,image,1,3,2500,8442,1
4789,164,7,7,11,24,reel,9,4,3575,5057,1
6725,180,13,8,12,26,video,16,5,3165,5659,1
5148,638,20,25,70,12,image,11,1,3161,4265,1
10663,142,10,6,6,20,image,20,4,2775,8533,1
114540,3728,276,104,216,5,reel,15,5,1230,43461,2
1000,55,3,0,5,16,image,8,4,291,2081,0
5290,448,34,16,34,22,video,18,6,2871,10754,1
11133,1168,52,42,79,5,image,8,1,2791,12132,1
13805,634,39,18,73,25,image,9,5,2291,12202,1
4148,221,4,4,24,11,image,6,0,492,3591,0
1000,101,3,3,11,28,reel,23,2,3531,5593,1
14623,181,9,3,8,2,video,9,5,2740,4224,1
181539,3990,289,160,422,6,image,22,6,2406,119941,2
